"","icpsr.state.code","icpsr.county.code","name","year","totpop","urb25","mfgestab","nonwhitepct","fmratio","forbornpct","rentownratio","irishbornpct","area","popdens","litvappct","urb25pct","dtotpop","darea","durb25","dmfgestab","dnonwhitepct","dfmratio","dforbornpct","drentownratio","dpopdens","dlitvappct","dirishbornpct","durb25pct"
"82",13,830,"RENSSELAER",1900,121697,60651,1105,0.005686254,1.097103,0.1888461,2.295829,0.08536776,664,183.2786,0.9812223,0.4983771,-0.02260041,NA,-0.005003609,-0.1460587,-0.0007549444,0.01295811,-0.03367242,0.05506272,NA,NA,-0.02707211,0.008813946
"154",13,830,"RENSSELAER",1910,122276,76813,NA,0.006657071,1.090009,0.1730184,2.246439,0.05687134,663,184.4284,0.9692804,0.6281936,0.004757718,-0.001506024,0.2664754,NA,0.0009708173,-0.007093871,-0.01582765,-0.04938913,1.149741,-0.01194195,-0.02849642,0.1298165
"226",13,830,"RENSSELAER",1920,113129,72013,347,0.006435132,1.107549,0.1414491,1.527952,0.03783292,663,170.632,0.6533957,0.6365565,-0.07480618,0,-0.06248942,NA,-0.0002219393,0.01753932,-0.03156928,-0.7184875,-13.79638,-0.3158847,-0.01903842,0.008362903
"298",13,830,"RENSSELAER",1930,119781,72763,203,0.006612067,1.055726,0.1246942,1.00058,0.02097996,663,180.6652,0.8352243,0.607467,0.05880013,0,0.01041479,-0.4149856,0.0001769354,-0.05182249,-0.01675491,-0.5273722,10.03318,0.1818286,-0.01685296,-0.02908954
"370",13,830,"RENSSELAER",1940,121834,70304,166,0.006114878,1.058181,0.09843722,1.150384,0.01268119,665,183.209,NA,0.5770475,0.01713961,0.003016591,-0.03379465,-0.182266,-0.0004971894,0.002454364,-0.02625702,0.1498042,2.543864,NA,-0.008298766,-0.0304195
"442",13,830,"RENSSELAER",1950,132607,72311,NA,0.009501761,1.033226,0.07363111,NA,0.007005663,665,199.409,NA,0.545303,0.08842359,0,0.02854745,NA,0.003386883,-0.02495459,-0.02480611,NA,16.2,NA,-0.005675526,-0.03174442
"70",71,850,"SANTA CLARA",1890,48005,0,217,0.07828351,0.8117829,0.2980731,1.248503,0.04562025,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",71,850,"SANTA CLARA",1900,60216,0,570,0.0378969,0.9316716,0.2418128,1.383504,0.03125415,1286,46.82426,0.9864447,0,0.2543693,NA,NA,1.626728,-0.04038661,0.1198887,-0.05626031,0.1350011,NA,NA,-0.0143661,0
"214",71,850,"SANTA CLARA",1910,83539,28946,NA,0.04417099,0.9027651,0.2193467,0.9352553,0.01784795,1328,62.90587,0.9426443,0.3464968,0.3873223,0.03265941,Inf,NA,0.006274082,-0.02890652,-0.02246615,-0.4482488,16.08161,-0.04380042,-0.0134062,0.3464968
"286",71,850,"SANTA CLARA",1920,100676,39642,377,0.04176765,0.9690972,0.2103878,0.7562739,0.01150224,1328,75.81024,0.608874,0.3937582,0.2051377,0,0.3695156,NA,-0.002403335,0.06633204,-0.008958874,-0.1789814,12.90437,-0.3337703,-0.006345706,0.04726135
"358",71,850,"SANTA CLARA",1930,145118,57651,296,0.06842707,0.9628843,0.1747337,0.6701685,0.004479114,1328,109.2756,0.8036839,0.3972698,0.4414359,0,0.4542909,-0.2148541,0.02665942,-0.006212857,-0.03565411,-0.08610538,33.46536,0.1948099,-0.007023131,0.003511613
