"","icpsr.state.code","icpsr.county.code","name","year","totpop","urb25","mfgestab","nonwhitepct","fmratio","forbornpct","rentownratio","irishbornpct","area","popdens","litvappct","urb25pct","dtotpop","darea","durb25","dmfgestab","dnonwhitepct","dfmratio","dforbornpct","drentownratio","dpopdens","dlitvappct","dirishbornpct","durb25pct"
"337",49,1130,"DALLAS",1930,325691,260475,572,0.1710394,1.048036,0.02197175,1.494769,0.0007338244,859,379.1513,0.8030342,0.7997611,0.5468509,0,0.6384549,0.1626016,0.02148421,0.07197776,-0.02741296,-0.1029959,134.0396,0.2133338,-0.001061465,0.04471365
"409",49,1130,"DALLAS",1940,398564,294734,716,0.1548384,1.081785,0.02205919,1.533853,0.0005369276,893,446.3203,NA,0.7394898,0.2237489,0.03958091,0.1315251,0.2517483,-0.01620105,0.03374892,8.744628e-05,0.03908464,67.16893,NA,-0.0001968968,-0.06027136
"481",49,1130,"DALLAS",1950,614799,434462,NA,0.135576,1.072983,0.01762365,NA,NA,893,688.4647,NA,0.7066732,0.5425352,0,0.4740817,NA,-0.01926235,-0.008802353,-0.004435546,NA,242.1445,NA,NA,-0.03281653
"57",51,1170,"KENTON",1890,54161,37371,1350,0.04929746,1.029338,0.1623124,2.280177,0.03164639,NA,NA,NA,0.6899983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",51,1170,"KENTON",1900,63591,42938,475,0.05187841,1.04967,0.1146074,1.905314,0.01956252,177,359.2712,0.9747774,0.6752213,0.1741105,NA,0.1489658,-0.6481481,0.002580946,0.02033169,-0.04770495,-0.3748628,NA,NA,-0.01208387,-0.014777
"200",51,1170,"KENTON",1910,70355,53270,NA,0.04608059,1.051645,0.07287329,1.725126,0.01013432,163,431.6258,0.9670201,0.7571601,0.1063673,-0.07909605,0.240626,NA,-0.005797819,0.001975077,-0.04173413,-0.1801878,72.35458,-0.00775731,-0.009428198,0.08193878
"272",51,1170,"KENTON",1920,73453,57121,148,0.04534873,1.063982,0.0483983,1.371447,0.006248894,163,450.6319,0.6246171,0.7776537,0.04403383,0,0.0722921,NA,-0.0007318649,0.01233754,-0.02447499,-0.3536794,19.00613,-0.342403,-0.003885425,0.02049362
"344",51,1170,"KENTON",1930,93534,65252,124,0.04155708,1.040267,0.02804328,0.8513086,0.002341395,163,573.8282,0.8088182,0.6976287,0.2733857,0,0.1423469,-0.1621622,-0.003791646,-0.02371525,-0.02035502,-0.5201382,123.1963,0.1842011,-0.003907499,-0.08002507
"416",51,1170,"KENTON",1940,93139,62018,80,0.03788961,1.065212,0.01833818,1.180185,0.00134208,166,561.0783,NA,0.665865,-0.004223063,0.01840491,-0.0495617,-0.3548387,-0.003667475,0.0249451,-0.009705096,0.3288761,-12.74991,NA,-0.0009993145,-0.03176367
"488",51,1170,"KENTON",1950,104254,64452,NA,0.03831028,1.087084,0.01224893,NA,NA,165,631.8424,NA,0.6182209,0.1193378,-0.006024096,0.03924667,NA,0.0004206748,0.02187151,-0.006089252,NA,70.76411,NA,NA,-0.04764411
"15",13,1190,"WESTCHESTER",1890,146772,32033,1034,0.02384651,0.983191,0.2615758,1.838509,0.1265841,NA,NA,NA,0.2182501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",13,1190,"WESTCHESTER",1900,184257,47931,1411,0.02993102,1.017619,0.2533527,2.039106,0.08709031,450,409.46,0.9861218,0.2601312,0.2553961,NA,0.4963007,0.3646035,0.00608451,0.03442758,-0.008223123,0.2005963,NA,NA,-0.03949378,0.04188115
"149",13,1190,"WESTCHESTER",1910,283055,139589,NA,0.03260144,0.9686126,0.2863154,2.020471,0.05518715,448,631.8192,0.9212729,0.4931515,0.5361967,-0.004444444,1.912291,NA,0.002670418,-0.04900595,0.03296273,-0.01863507,222.3592,-0.06484893,-0.03190316,0.2330203
"221",13,1190,"WESTCHESTER",1920,344436,179115,825,0.03288274,1.046073,0.2322783,1.91374,0.03627379,448,768.8304,0.5690114,0.520024,0.2168518,0,0.2831598,NA,0.0002813038,0.07746078,-0.05403711,-0.1067308,137.0112,-0.3522615,-0.01891336,0.02687253
"293",13,1190,"WESTCHESTER",1930,520947,285975,522,0.04549407,1.02681,0.2317165,1.260982,0.02486241,448,1162.828,0.8061914,0.5489522,0.5124639,0,0.5965999,-0.3672727,0.01261133,-0.01926311,-0.000561805,-0.6527576,393.9978,0.23718,-0.01141138,0.02892816
"365",13,1190,"WESTCHESTER",1940,573558,308695,523,0.05557938,1.047303,0.1842569,1.982256,0.01741585,435,1318.524,NA,0.5382106,0.1009911,-0.02901786,0.0794475,0.001915709,0.01008531,0.02049242,-0.0474596,0.7212739,155.696,NA,-0.007446564,-0.01074159
"437",13,1190,"WESTCHESTER",1950,625816,327888,NA,0.06186483,1.097492,0.15351,NA,0.01437004,435,1438.657,NA,0.5239367,0.09111197,0,0.06217464,NA,0.006285446,0.05018893,-0.03074689,NA,120.1333,NA,-0.003045811,-0.01427386
"27",24,1190,"MUSKINGUM",1890,51210,0,406,0.02380394,1.029405,0.05215778,0.9251564,0.01156024,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",24,1190,"MUSKINGUM",1900,53185,0,420,0.02361568,1.033688,0.03751058,1.084995,0.007163674,660,80.58333,0.9660267,0,0.03856669,NA,NA,0.03448276,-0.0001882634,0.004282901,-0.01464721,0.1598386,NA,NA,-0.004396568,0
"163",24,1190,"MUSKINGUM",1910,57488,28026,NA,0.02958878,1.019532,0.03872112,1.047235,0.004244364,664,86.57831,0.9682773,0.4875104,0.08090627,0.006060606,Inf,NA,0.005973103,-0.0141556,0.001210548,-0.03775999,5.99498,0.002250653,-0.00291931,0.4875104
"235",24,1190,"MUSKINGUM",1920,57980,29569,162,0.03085547,1.016696,0.02799241,0.756397,0.001983443,664,87.31928,0.6181614,0.5099862,0.008558308,0,0.05505602,NA,0.001266684,-0.002836421,-0.01072871,-0.290838,0.7409639,-0.3501159,-0.002260921,0.02247577
"307",24,1190,"MUSKINGUM",1930,67398,36440,110,0.03142526,0.9979842,0.02043087,0.5957848,0.0007715362,664,101.503,0.8065076,0.5406689,0.1624353,0,0.2323717,-0.3209877,0.0005697974,-0.01871148,-0.007561538,-0.1606123,14.18373,0.1883462,-0.001211906,0.03068266
"379",24,1190,"MUSKINGUM",1940,69795,37500,73,0.03305394,1.006007,0.01500107,0.7888048,0.0004728132,667,104.6402,NA,0.5372878,0.03556485,0.004518072,0.02908891,-0.3363636,0.001628679,0.008022786,-0.005429799,0.19302,3.137168,NA,-0.000298723,-0.003381091
"451",24,1190,"MUSKINGUM",1950,74535,40517,NA,0.0359026,1.044015,0.01298719,NA,0.0002951633,663,112.4208,NA,0.543597,0.06791317,-0.005997001,0.08045333,NA,0.002848652,0.03800785,-0.002013887,NA,7.780635,NA,-0.0001776499,0.006309197
"41",42,1190,"PULASKI",1890,47329,25874,151,0.4648313,0.9158436,0.05930825,2.639456,0.006127322,NA,NA,NA,0.5466839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",42,1190,"PULASKI",1900,63179,38307,249,0.4612134,0.9606194,0.04298897,2.364326,0.004099463,788,80.1764,0.9567922,0.6063249,0.3348898,NA,0.480521,0.6490066,-0.00361791,0.04477583,-0.01631928,-0.2751302,NA,NA,-0.002027858,0.05964104
"185",42,1190,"PULASKI",1910,86751,45941,NA,0.4090327,0.9485849,0.03403995,1.744137,0.002628212,747,116.1325,0.8927925,0.5295731,0.3730987,-0.05203046,0.1992847,NA,-0.05218063,-0.01203451,-0.008949014,-0.6201887,35.95613,-0.0639997,-0.001471252,-0.07675174
"257",42,1190,"PULASKI",1920,109464,65142,329,0.3330227,0.9448511,0.02671198,1.478166,0.001470803,779,140.5186,0.5610155,0.5950998,0.2618183,0.04283802,0.4179491,NA,-0.07601002,-0.003733793,-0.007327975,-0.2659705,24.38608,-0.331777,-0.001157409,0.06552661
"329",42,1190,"PULASKI",1930,137727,81679,177,0.2923537,1.049661,0.01524029,1.238538,0.0006026415,779,176.7997,0.7830709,0.59305,0.2581945,0,0.2538608,-0.4620061,-0.04066901,0.1048103,-0.01147168,-0.239628,36.28113,0.2220554,-0.0008681617,-0.00204974
"401",42,1190,"PULASKI",1940,156085,88039,142,0.2768235,1.058409,0.009917673,1.563272,0.0002883044,781,199.8528,NA,0.5640452,0.1332927,0.002567394,0.07786579,-0.1977401,-0.01553019,0.00874707,-0.005322621,0.3247338,23.05301,NA,-0.000314337,-0.02900479
"473",42,1190,"PULASKI",1950,196685,146310,NA,0.2405725,1.085074,0.008160256,NA,NA,781,251.8374,NA,0.7438798,0.2601147,0,0.6618771,NA,-0.03625104,0.02666517,-0.001757417,NA,51.98464,NA,NA,0.1798346
"46",47,1290,"NEW HANOVER",1890,24026,0,122,0.5800799,1.127324,0.02268376,2.300197,0.003621077,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",47,1290,"NEW HANOVER",1900,25785,0,135,0.5089005,1.136997,0.01970138,2.412517,0.002016676,199,129.5729,0.9487342,0,0.07321235,NA,NA,0.1065574,-0.07117939,0.009672276,-0.002982382,0.1123193,NA,NA,-0.001604401,0
"189",47,1290,"NEW HANOVER",1910,32037,25748,NA,0.4782907,1.065437,0.01779193,2.132346,0.001154915,216,148.3194,0.8601351,0.8036957,0.2424666,0.08542714,Inf,NA,-0.0306098,-0.07155909,-0.001909449,-0.2801709,18.74658,-0.08859912,-0.0008617617,0.8036957
"261",47,1290,"NEW HANOVER",1920,40620,33372,84,0.4063023,1.038645,0.02141802,1.584851,0.001009355,216,188.0556,0.5051945,0.8215657,0.267909,0,0.2961007,NA,-0.07198841,-0.02679251,0.003626093,-0.5474948,39.73611,-0.3549406,-0.0001455596,0.01787
"333",47,1290,"NEW HANOVER",1930,43010,32270,58,0.3903743,1.10287,0.014206,1.222896,0.0003952569,216,199.1204,0.7260405,0.7502906,0.05883801,0,-0.03302169,-0.3095238,-0.01592798,0.06422508,-0.007212022,-0.3619555,11.06481,0.220846,-0.0006140981,-0.0712751
"405",47,1290,"NEW HANOVER",1940,47935,33407,61,0.3562741,1.075018,0.01257953,1.612484,0.0002712006,194,247.0876,NA,0.6969229,0.1145083,-0.1018519,0.03523396,0.05172414,-0.03410021,-0.0278516,-0.001626464,0.3895881,47.96726,NA,-0.0001240563,-0.05336771
"477",47,1290,"NEW HANOVER",1950,63272,45043,NA,0.3135984,1.106399,0.01182197,NA,NA,194,326.1443,NA,0.7118947,0.3199541,0,0.3483102,NA,-0.04267569,0.03138016,-0.0007575598,NA,79.0567,NA,NA,0.01497176
"51",49,1410,"EL PASO",1890,15678,0,73,0.04350045,0.7649443,0.3443679,2.511137,0.009121061,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",49,1410,"EL PASO",1900,24886,0,143,0.041228,0.8766307,0.3936752,2.71319,0.005826569,9353,2.660751,0.856756,0,0.5873198,NA,NA,0.9589041,-0.002272447,0.1116864,0.04930725,0.202053,NA,NA,-0.003294492,0
"194",49,1410,"EL PASO",1910,52599,39279,NA,0.03555201,0.9513634,0.3486948,2.357606,0.003631248,9331,5.637016,0.8377755,0.7467632,1.113598,-0.002352186,Inf,NA,-0.005675993,0.07473266,-0.04498032,-0.3555845,2.976266,-0.01898053,-0.002195321,0.7467632
"266",49,1410,"EL PASO",1920,101877,77560,217,0.01994562,0.9449228,0.4152557,3.217552,0.002581544,923,110.3759,0.4895708,0.7613102,0.9368619,-0.9010824,0.974592,NA,-0.01560639,-0.006440606,0.06656081,0.8599464,104.7389,-0.3482047,-0.001049703,0.01454696
"338",49,1410,"EL PASO",1930,131597,102421,160,0.6061384,1.005563,0.0255021,2.425006,0.0009726666,923,142.5753,0.6904489,0.7782928,0.2917243,0,0.3205389,-0.2626728,0.5861928,0.06063989,-0.3897536,-0.7925463,32.19935,0.2008781,-0.001608878,0.01698261
"410",49,1410,"EL PASO",1940,131067,96810,132,0.02283565,1.011341,0.2154471,1.99564,0.0006485233,1054,124.352,NA,0.7386299,-0.004027447,0.1419285,-0.05478369,-0.175,-0.5833028,0.00577795,0.189945,-0.4293659,-18.22331,NA,-0.0003241433,-0.03966296
"482",49,1410,"EL PASO",1950,194968,130485,NA,0.02407575,0.9383022,0.1575848,NA,NA,1054,184.9791,NA,0.6692637,0.4875445,0,0.3478463,NA,0.001240097,-0.07303845,-0.05786223,NA,60.62713,NA,NA,-0.06936619
"16",21,1430,"PEORIA",1890,70378,41024,622,0.0140669,0.9299622,0.1763619,1.249528,0.03464151,NA,NA,NA,0.5829094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",21,1430,"PEORIA",1900,88608,56100,1025,0.01749278,0.9373374,0.1409354,1.364958,0.02072048,615,144.078,0.9839719,0.6331257,0.2590298,NA,0.3674922,0.64791,0.003425881,0.007375229,-0.03542658,0.1154302,NA,NA,-0.01392103,0.05021625
"156",21,1430,"PEORIA",1910,100255,66950,NA,0.01753529,0.9283516,0.1240537,1.193997,0.01306668,636,157.6336,0.9815634,0.6677971,0.1314441,0.03414634,0.1934046,NA,4.250785e-05,-0.008985779,-0.01688169,-0.1709604,13.5556,-0.002408447,-0.007653797,0.03467144
"228",21,1430,"PEORIA",1920,111710,76121,295,0.02113508,0.9826072,0.09560469,1.019638,0.007644795,636,175.6447,0.6456718,0.6814162,0.1142586,0,0.1369828,NA,0.003599797,0.05425555,-0.02844897,-0.174359,18.01101,-0.3358916,-0.005421885,0.01361905
"300",21,1430,"PEORIA",1930,141344,104969,202,0.02498868,0.982718,0.06642659,0.866309,0.003311071,636,222.239,0.8369651,0.7426491,0.2652762,0,0.3789756,-0.3152542,0.003853598,0.0001108366,-0.0291781,-0.1533295,46.59434,0.1912933,-0.004333724,0.06123297
"372",21,1430,"PEORIA",1940,153374,105087,219,0.02061627,1.001958,0.05028884,0.9507173,0.002001643,624,245.7917,NA,0.6851683,0.0851115,-0.01886792,0.001124141,0.08415842,-0.004372409,0.01923993,-0.01613775,0.08440829,23.55267,NA,-0.001309428,-0.05748086
"444",21,1430,"PEORIA",1950,174347,111856,NA,0.03701813,1.010529,0.03632411,NA,0.001376565,624,279.4022,NA,0.6415711,0.1367442,0,0.0644133,NA,0.01640186,0.008570583,-0.01396472,NA,33.61058,NA,-0.0006250779,-0.04359716
"21",23,1450,"SAGINAW",1890,82273,46322,482,0.006928154,0.9170259,0.3098951,0.8743178,0.01789165,NA,NA,NA,0.563028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",23,1450,"SAGINAW",1900,81222,42345,616,0.007030115,0.9836854,0.2487011,0.8767634,0.01178252,832,97.6226,0.9739636,0.5213489,-0.01277454,NA,-0.08585553,0.2780083,0.0001019612,0.06665954,-0.06119401,0.002445626,NA,NA,-0.006109131,-0.04167907
"158",23,1450,"SAGINAW",1910,89290,50510,NA,0.005498936,0.9703857,0.2174936,0.6817161,0.006966066,828,107.8382,0.9565545,0.5656848,0.09933269,-0.004807692,0.1928209,NA,-0.001531179,-0.0132997,-0.03120753,-0.1950473,10.21557,-0.01740908,-0.004816456,0.04433595
"230",23,1450,"SAGINAW",1920,100286,61903,262,0.005603973,0.9618913,0.1809425,0.3920478,0.002951559,828,121.1184,0.5589813,0.6172646,0.1231493,0,0.2255593,NA,0.0001050366,-0.008494388,-0.03655106,-0.2896683,13.28019,-0.3975732,-0.004014507,0.05157978
"302",23,1450,"SAGINAW",1930,120717,80715,171,0.04421912,0.9431933,0.1325165,0.423822,0.0009774928,828,145.7935,0.7841812,0.6686299,0.2037273,0,0.3038948,-0.3473282,0.03861515,-0.01869801,-0.04842596,0.0317742,24.67512,0.2251999,-0.001974066,0.05136531
"374",23,1450,"SAGINAW",1940,130468,82794,159,0.02769261,0.9680212,0.09687433,0.5624915,0.00053653,812,160.6749,NA,0.6345924,0.0807757,-0.01932367,0.02575729,-0.07017544,-0.01652651,0.0248279,-0.03564222,0.1386695,14.8814,NA,-0.0004409628,-0.03403755
"446",23,1450,"SAGINAW",1950,153515,92918,NA,0.05981826,0.9999609,0.06523792,NA,0.0004168974,812,189.0579,NA,0.6052698,0.1766487,0,0.1222794,NA,0.03212564,0.03193968,-0.0316364,NA,28.383,NA,-0.0001196327,-0.02932255
"28",24,1530,"SUMMIT",1890,54089,27601,452,0.01024238,0.9836799,0.1661336,0.7670969,0.02246298,NA,NA,NA,0.5102886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",24,1530,"SUMMIT",1900,71715,42728,599,0.008213066,0.9560592,0.1399289,0.8566529,0.01486439,408,175.7721,0.9909243,0.5958028,0.3258703,NA,0.5480599,0.3252212,-0.002029313,-0.02762066,-0.02620471,0.08955595,NA,NA,-0.007598584,0.08551423
"164",24,1530,"SUMMIT",1910,108253,69067,NA,0.00714068,0.8790988,0.1843921,0.9324615,0.008258432,408,265.326,0.9585703,0.6380147,0.5094889,0,0.6164342,NA,-0.001072386,-0.07696049,0.04446323,0.07580863,89.55392,-0.03235402,-0.006605962,0.04221182
"236",24,1530,"SUMMIT",1920,286065,208435,405,0.02350864,0.7577931,0.1698495,1.016309,0.003964134,408,701.1397,0.6126929,0.7286281,1.64256,0,2.017867,NA,0.01636796,-0.1213057,-0.01454261,0.08384714,435.8137,-0.3458773,-0.004294298,0.09061346
"308",24,1530,"SUMMIT",1930,344131,255040,359,0.03701207,0.9553675,0.116537,0.7942793,0.00170284,408,843.4583,0.7809758,0.7411131,0.2029818,0,0.2235949,-0.1135802,0.01350342,0.1975745,-0.05331249,-0.2220294,142.3186,0.1682829,-0.002261294,0.01248501
"380",24,1530,"SUMMIT",1940,339405,244791,341,0.04106598,0.9967467,0.09781824,0.8901941,0.001337635,413,821.8039,NA,0.7212357,-0.01373314,0.0122549,-0.04018585,-0.05013928,0.004053915,0.04137911,-0.01871878,0.09591479,-21.65446,NA,-0.0003652049,-0.01987743
"452",24,1530,"SUMMIT",1950,410032,331620,NA,0.06469983,1.026551,0.07037256,NA,0.00106577,413,992.8136,NA,0.8087661,0.2080906,0,0.3547067,NA,0.02363385,0.02980403,-0.02744568,NA,171.0097,NA,-0.0002718645,0.08753045
"30",31,1530,"POLK",1890,65410,50093,346,0.01833053,0.9591458,0.1433726,1.47706,0.0234215,NA,NA,NA,0.7658309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",31,1530,"POLK",1900,82624,62139,547,0.02475068,0.9741476,0.1177261,1.574607,0.01487461,576,143.4444,0.9869207,0.7520696,0.2631708,NA,0.2404727,0.5809249,0.006420147,0.01500184,-0.02564649,0.09754707,NA,NA,-0.008546882,-0.0137613
"173",31,1530,"POLK",1910,110438,86368,NA,0.03274235,0.9606583,0.1170793,1.226445,0.009036745,582,189.756,0.9758612,0.7820497,0.3366334,0.01041667,0.3899162,NA,0.007991675,-0.01348931,-0.0006468182,-0.3481616,46.31157,-0.01105951,-0.005837868,0.02998004
"245",31,1530,"POLK",1920,154029,126468,397,0.03836291,0.9992602,0.08831454,0.9188516,0.005096443,582,264.6546,0.6271871,0.8210662,0.3947102,0,0.4642923,NA,0.005620553,0.03860185,-0.02876473,-0.3075939,74.89863,-0.3486741,-0.003940302,0.03901651
"317",31,1530,"POLK",1930,172837,142559,341,0.03701754,1.048196,0.06327349,0.901989,0.002198603,582,296.9708,0.8252515,0.8248176,0.1221069,0,0.1272338,-0.1410579,-0.001345369,0.04893562,-0.02504105,-0.01686257,32.31615,0.1980644,-0.00289784,0.00375144
"389",31,1530,"POLK",1940,195835,159819,270,0.03414099,1.070575,0.04528302,0.9498361,0.001205096,594,329.6886,NA,0.8160901,0.1330618,0.02061856,0.1210727,-0.2082111,-0.002876551,0.02237941,-0.01799047,0.04784713,32.71776,NA,-0.0009935072,-0.008727527
"461",31,1530,"POLK",1950,226010,177965,NA,0.03776824,1.081679,0.03310031,NA,0.0009291624,594,380.4882,NA,0.7874209,0.1540838,0,0.1135409,NA,0.003627254,0.0111041,-0.01218271,NA,50.79966,NA,-0.0002759337,-0.02866917
"52",49,1570,"FORT BEND",1890,10586,0,2,0.8483847,0.8148466,0.01587002,3.675159,0.003589647,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",49,1570,"FORT BEND",1900,16538,0,57,0.653888,0.8316536,0.04843391,2.434978,0.001088402,897,18.43701,0.9715004,0,0.562252,NA,NA,27.5,-0.1944966,0.016807,0.03256389,-1.240182,NA,NA,-0.002501244,0
"195",49,1570,"FORT BEND",1910,18168,0,NA,0.6286878,0.8144412,0.05861955,2.198529,0.0007155438,792,22.93939,0.6336742,0,0.09856089,-0.1170569,NA,NA,-0.02520021,-0.01721233,0.01018564,-0.2364482,4.502382,-0.3378262,-0.0003728587,0
"267",49,1570,"FORT BEND",1920,22931,0,NA,0.4562819,0.8743665,0.1183115,2.289245,0.0003488727,792,28.95328,0.3851119,0,0.2621642,0,NA,NA,-0.1724059,0.05992529,0.05969191,0.09071575,6.013889,-0.2485624,-0.0003666711,0
"339",49,1570,"FORT BEND",1930,29718,0,NA,0.5057877,0.8363715,0.0376876,2.747578,6.729928e-05,792,37.52273,0.6534424,0,0.2959749,0,NA,NA,0.04950585,-0.03799502,-0.08062386,0.4583332,8.569444,0.2683305,-0.0002815734,0
"411",49,1570,"FORT BEND",1940,32963,0,15,0.2766132,0.8417142,0.07647969,2.366376,3.033704e-05,867,38.01961,NA,0,0.1091931,0.09469697,NA,NA,-0.2291746,0.005342657,0.03879209,-0.3812028,0.4968806,NA,-3.696224e-05,0
"483",49,1570,"FORT BEND",1950,31056,0,NA,0.2423686,0.8880175,0.04942684,NA,NA,862,36.02784,NA,0,-0.05785274,-0.005767013,NA,NA,-0.03424455,0.04630335,-0.02705285,NA,-1.991766,NA,NA,0
"53",49,1670,"GALVESTON",1890,31476,29084,191,0.2241073,0.9736644,0.2018681,2.363231,0.03049943,NA,NA,NA,0.9240056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",49,1670,"GALVESTON",1900,44116,37789,305,0.2009702,0.9943942,0.1661075,1.892583,0.01845136,438,100.7215,0.986539,0.8565826,0.4015758,NA,0.2993055,0.5968586,-0.02313709,0.0207298,-0.03576056,-0.4706481,NA,NA,-0.01204807,-0.06742295
"196",49,1670,"GALVESTON",1910,44479,36981,NA,0.1986331,0.8739836,0.1681692,2.163558,0.01353448,395,112.6051,0.9414818,0.8314261,0.008228307,-0.09817352,-0.02138188,NA,-0.002337107,-0.1204106,0.002061714,0.270975,11.8836,-0.04505727,-0.004916879,-0.02515658
"268",49,1670,"GALVESTON",1920,53150,44255,NA,0.2108561,0.8903155,0.1546943,2.107134,0.007864534,395,134.557,0.5970461,0.8326435,0.1949459,0,0.1966956,NA,0.012223,0.0163319,-0.01347499,-0.05642419,21.9519,-0.3444357,-0.005669943,0.001217396
"340",49,1670,"GALVESTON",1930,64401,52938,97,0.2815018,0.9240835,0.08352355,1.598391,0.003788761,395,163.0405,0.7979534,0.8220059,0.2116839,0,0.1962038,NA,0.07064577,0.03376807,-0.07117071,-0.5087429,28.48354,0.2009074,-0.004075773,-0.01063759
"412",49,1670,"GALVESTON",1940,81173,60862,74,0.2192231,0.9740996,0.0674239,1.718792,0.00232836,430,188.7744,NA,0.7497813,0.2604307,0.08860759,0.1496845,-0.2371134,-0.0622787,0.05001603,-0.01609965,0.1204012,25.73391,NA,-0.001460401,-0.07222454
"484",49,1670,"GALVESTON",1950,113066,66568,NA,0.2106911,0.9977384,0.04388587,NA,NA,430,262.9442,NA,0.5887535,0.3929016,0,0.09375308,NA,-0.00853204,0.02363883,-0.02353803,NA,74.16977,NA,NA,-0.1610279
"32",32,1730,"SEDGWICK",1890,43626,0,175,0.03140329,0.8952993,0.08245083,1.795909,0.01061294,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",32,1730,"SEDGWICK",1900,44037,0,377,0.03385789,0.940982,0.06612621,1.342959,0.00772078,992,44.39214,0.9926504,0,0.009420987,NA,NA,1.154286,0.002454601,0.04568269,-0.01632462,-0.4529498,NA,NA,-0.002892157,0
"176",32,1730,"SEDGWICK",1910,73095,52450,NA,0.03669198,0.9177992,0.05888228,1.148329,0.004459949,994,73.53622,0.9757656,0.7175593,0.6598542,0.002016129,Inf,NA,0.002834084,-0.02318278,-0.007243936,-0.1946297,29.14408,-0.01688477,-0.003260831,0.7175593
"248",32,1730,"SEDGWICK",1920,92234,72217,266,0.03985515,1.008099,0.04364985,1.050165,0.002309344,994,92.79074,0.6174187,0.7829759,0.2618373,0,0.3768732,NA,0.003163175,0.09029987,-0.01523243,-0.09816458,19.25453,-0.3583469,-0.002150606,0.06541657
"320",32,1730,"SEDGWICK",1930,136330,111110,239,0.05367124,1.025224,0.02152864,1.049055,0.000616152,994,137.1529,0.8152278,0.8150077,0.4780883,0,0.5385574,-0.1015038,0.01381609,0.01712521,-0.0221212,-0.001109232,44.36217,0.197809,-0.001693192,0.03203179
"392",32,1730,"SEDGWICK",1940,143311,114966,193,0.04155996,1.060724,0.01915415,1.216377,0.0005093817,999,143.4545,NA,0.8022134,0.05120663,0.005030181,0.03470435,-0.1924686,-0.01211127,0.03549983,-0.002374496,0.1673217,6.301537,NA,-0.0001067703,-0.01279433
"464",32,1730,"SEDGWICK",1950,222290,168279,NA,0.04564308,1.057022,0.01323496,NA,0.000386882,999,222.5125,NA,0.7570246,0.5511021,0,0.4637284,NA,0.004083115,-0.003702381,-0.005919184,NA,79.05806,NA,-0.0001224997,-0.04518876
"47",47,1830,"WAKE",1890,49207,0,159,0.4697299,0.998335,0.003536082,3.519926,0.0005080578,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",47,1830,"WAKE",1900,54626,0,231,0.4459232,1.038892,0.00400908,2.96108,0.000366126,841,64.95363,0.8209388,0,0.1101266,NA,NA,0.4528302,-0.02380673,0.04055725,0.0004729977,-0.5588456,NA,NA,-0.0001419318,0
"190",47,1830,"WAKE",1910,63229,0,NA,0.4091477,1.013278,0.003384523,2.327116,0.0001423397,845,74.82722,0.8089311,0,0.1574891,0.004756243,NA,NA,-0.03677549,-0.02561449,-0.000624557,-0.633964,9.873592,-0.01200773,-0.0002237863,0
"262",47,1830,"WAKE",1920,75155,0,174,0.38869,0.9942419,0.003286541,1.692883,0.0001463642,824,91.20752,0.4261194,0,0.188616,-0.02485207,NA,NA,-0.02045766,-0.01903582,-9.798178e-05,-0.634233,16.38031,-0.3828117,4.024432e-06,0
"334",47,1830,"WAKE",1930,94757,37379,88,0.3580738,1.01864,0.004738436,1.580402,0.0001055331,824,114.9964,0.7059742,0.3944722,0.260821,0,Inf,-0.4942529,-0.03061623,0.02439853,0.001451895,-0.1124815,23.78883,0.2798549,-4.083108e-05,0.3944722
"406",47,1830,"WAKE",1940,109544,46897,93,0.3362302,1.048049,0.004409187,1.806876,0.0001369313,866,126.4942,NA,0.4281111,0.1560518,0.05097087,0.254635,0.05681818,-0.02184362,0.02940864,-0.000329249,0.2264742,11.49787,NA,3.139818e-05,0.0336389
"478",47,1830,"WAKE",1950,136450,65679,NA,0.2934481,1.00981,0.00627336,NA,NA,866,157.5635,NA,0.4813412,0.2456182,0,0.4004947,NA,-0.04278204,-0.03823936,0.001864173,NA,31.06928,NA,NA,0.05323007
"31",31,1930,"WOODBURY",1890,55632,37806,242,0.006830601,0.7797114,0.2084052,1.663629,0.02284656,NA,NA,NA,0.6795729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
