city,state,icpsr.state.code,year,icpsr_ctname,icpsr.county.code,haspr,ineffect,adoptyear,govyear,census.year,diss.case,confederacy,trounstine.dominance,debt1913oradopt,netdebtadopt,sinking1913oradopt,by.ordinance,prior.control,prior.lower.size,to.lower.size,from_form,to_form,dhomerule_st,dmerit,daustralian,ddirectprimary,Pop,Unempt_1,ManuPCt_1,RetlPCt_1,Fiscalt_1,NonWhiteRatiot_1,LnPopt_1,ChgPop,OwHoust_1,VtRept_1,YrCityAget_1,RegEast,RegMidWest,RegWest,YrFounded,YrCityAge,gui,ChgGovForm,White,Labor,Emp,Unemp,GovEmp,GovRev,GovExp,Manu,VlManu,Retl,SlRetl,Whol,SlWhol,Hous,OwHous,OcHous,OwOcu,VtRep,CYr25000,CYr10000,AdptYr25000,WhiteRatio,ChgWhite,NonWhite,NonWhiteRatio,Region,_Iyear_1935,_Iyear_1940,_Iyear_1945,_Iyear_1950,_Iyear_1955,_Iyear_1960,_Iyear_1965,_Iyear_1970,_Iyear_1975,_Iyear_1980,_Iyear_1985,_Iyear_1990,_Iyear_1995,_Iyear_2000,_Iyear_2005
Petersburg,VA,40,1920,PETERSBURG CITY,7300,0,1920,1917,1917,1910,1,1,0,1415000,,638642,,,,,,2,NA,1942,1894,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,CA,71,1920,LOS ANGELES,370,0,1921,,1918,1910,1,0,0,502000,,,,,,,,2,1879,1913,1891,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach,CA,71,1920,LOS ANGELES,370,0,1921,,1918,1910,1,0,0,1948864,,96654,,,,,3,2,1879,1913,1891,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,CO,62,1920,EL PASO,410,0,1921,1920,1918,1920,1,0,0,1615392,,44724,,,,,3,2,1902,1940,1891,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,CA,71,1925,SACRAMENTO,670,1,1921,1920,1918,1920,1,0,0,5207277,5191536,15741,,,,,3,2,1879,1913,1891,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa,FL,43,1925,HILLSBOROUGH,570,0,1921,,1920,1920,1,1,0,3150000,,527311,,,,,,2,1915,1940,1895,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middleborough,MA,3,1925,PLYMOUTH,230,0,1921,1920,1920,1920,1,0,0,,,,,,,,,2,NA,1884,1888,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay City,MI,23,1925,BAY,170,0,1921,1920,1920,1920,1,0,1,1008500,,138717,,,,,,2,1908,1937,1891,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensboro,NC,47,1925,GUILFORD,810,0,1921,1921,1920,1920,1,1,1,1577000,,42509,,,,,3,2,1917,1941,1909,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashville,TN,54,1925,DAVIDSON,370,0,1921,,1918,1920,1,1,0,10027000,,626735,,,,,,2,1953,1937,1889,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus,GA,44,1925,MUSCOGEE,2150,0,1922,1921,1918,1920,1,1,0,1030500,,17000,,,,,,2,1947,1949,1922,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,VA,40,1925,ALEXANDRIA CITY,5100,0,1922,,1917,1920,1,1,0,794000,,11753,,,,,,2,NA,1942,1894,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,CA,71,1925,ALAMEDA,10,0,1923,,1922,1920,1,0,0,1133765,,18838,,,,,3,2,1879,1913,1891,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,OH,24,1925,CUYAHOGA,350,1,1924,1921,1920,1920,1,0,0,90963334,,11977484,,,,,,2,1912,1913,1891,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,OH,24,1925,HAMILTON,610,1,1924,1924,1924,1920,1,0,1,92866770,,24571801,,,,,,2,1912,1913,1891,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City,MO,34,1930,JACKSON,950,0,1926,1925,1924,1920,1,0,1,20551000,,2710457,,,,,,2,1875,1940,1889,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indianapolis,IN,22,1930,MARION,970,0,1927,1927,1924,1920,1,0,0,7423160,,316481,,,,,,2,NA,1941,1891,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flint,MI,23,1930,GENESEE,490,0,1930,1929,1928,1920,1,0,1,11012600,,937660,,,,,,2,1908,1937,1891,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,CA,71,1935,ALAMEDA,10,0,1931,1931,1930,1930,1,0,0,12176335,,,,,,,3,2,1879,1913,1891,1909,293113,0.06547666,2.598015,17.81647,-0.01341128,0.05840254,12.55695,3.185913,48.59894,64.8,70,0,0,1,1860,75,6148,1,277704,131265,110563,0.1577068,2083,6610.977,6591.531,668,NA,5107,NA,471,NA,93394,45.48584,91202,41484,35.1,1880,1870,1911,94.13695,3.825059,15409,0.05257017,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas,TX,49,1935,DALLAS,1130,0,1931,1930,1930,1930,1,1,0,,,,,,,,,2,1912,1941,1892,1905,277604,0.04730549,2.05394,13.22584,-0.06091013,0.1718207,12.47026,6.576063,37.25323,60.9,50,0,0,0,1880,55,7111,1,229983,133217,114223,0.1425779,1995,5835.631,5617.965,590,NA,3869,NA,926,NA,78315,35.94868,75605,27179,14.5,1890,1880,1907,82.7277,6.611812,47621,0.1715429,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
