city,state,icpsr.state.code,year,icpsr_ctname,icpsr.county.code,haspr,ineffect,adoptyear,govyear,census.year,diss.case,confederacy,trounstine.dominance,debt1913oradopt,netdebtadopt,sinking1913oradopt,by.ordinance,prior.control,prior.lower.size,to.lower.size,from_form,to_form,dhomerule_st,dmerit,daustralian,ddirectprimary,Pop,Unempt_1,ManuPCt_1,RetlPCt_1,Fiscalt_1,NonWhiteRatiot_1,LnPopt_1,ChgPop,OwHoust_1,VtRept_1,YrCityAget_1,RegEast,RegMidWest,RegWest,YrFounded,YrCityAge,gui,ChgGovForm,White,Labor,Emp,Unemp,GovEmp,GovRev,GovExp,Manu,VlManu,Retl,SlRetl,Whol,SlWhol,Hous,OwHous,OcHous,OwOcu,VtRep,CYr25000,CYr10000,AdptYr25000,WhiteRatio,ChgWhite,NonWhite,NonWhiteRatio,Region,_Iyear_1935,_Iyear_1940,_Iyear_1945,_Iyear_1950,_Iyear_1955,_Iyear_1960,_Iyear_1965,_Iyear_1970,_Iyear_1975,_Iyear_1980,_Iyear_1985,_Iyear_1990,_Iyear_1995,_Iyear_2000,_Iyear_2005
Richmond,VA,40,1950,RICHMOND CITY,7600,0,1948,1948,1945,1940,1,1,1,41306433,,15214392,,,,,,2,NA,1942,1894,1912,230310,0.06066871,1.563711,12.44827,-0.02815433,0.3173388,12.26281,8.803077,39.02523,27.8,155,0,0,0,1790,160,9110,1,157301,108076,102750,0.04928014,5299,22591,24812,336,205130,2520,315050,612,626048,66434,46.8,65049,30442,41.21413,1850,1820,1850,68.29968,8.856564,73009,0.3170032,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Des Moines,IA,31,1950,POLK,1530,0,1950,1949,1948,1940,1,0,0,5839000,,440153,,,,,,2,NA,1939,1891,1907,177965,0.04459684,1.663785,12.67674,0.1010049,0.04316368,12.03701,5.372072,58.23714,44.1,85,0,1,0,1860,90,4207,1,169778,79382,77423,0.02467814,1460,7326,6820,304,77316,1951,246825,530,564156,57644,65.6,56296,36930,41.46278,1890,1870,1908,95.39966,5.059343,8187,0.04600343,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lawrence,MA,3,1950,ESSEX,90,0,1950,,,,,,0,,,,,,,,,3,NA,1884,1888,1911,80536,0.1547854,1.953196,16.87513,0.0475263,0.002377804,11.31969,-2.296522,23.90099,48.5,95,1,0,0,1850,100,1414,1,80294,39209,35511,0.09431508,1303,7534,7718,159,129012,1292,91595,131,57260,24139,26.8,23828,6385,44.1992,1870,1860,1912,99.69952,-2.357934,242,0.003004867,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Worcester,MA,3,1950,WORCESTER,270,1,1950,1947,1946,1940,1,0,0,7223000,,0,,,,,,2,NA,1884,1888,1911,203486,0.0793165,2.759454,11.6169,-0.1234395,0.007704315,12.199,2.465381,34.58263,44.3,155,1,0,0,1790,160,1435,1,201858,83627,78856,0.05705095,4697,24874,26802,574,215807,2225,221340,411,223387,55792,38.5,54981,21167,43.61755,1870,1850,1870,99.19994,2.434791,1628,0.008000551,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Columbia,SC,48,1950,RICHLAND,790,0,1949,1949,1946,1940,1,1,0,1321000,,70698,,,,,,2,1899,1936,1950,1915,86914,0.06282808,1.044806,13.03329,-0.01642036,0.3576987,11.22063,16.42087,34.03924,2,115,0,0,0,1830,120,8703,1,55711,34122,32974,0.03364398,850,2484,3411,89,14644,1028,110203,250,191715,22989,39.2,21847,8564,7.288154,1910,1880,1910,64.09899,16.18319,31203,0.3590101,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Santa Ana,CA,71,1955,ORANGE,590,0,,,,,,,0,,,,,,,,,2,1879,1913,1891,1909,72941,0.07758719,1.339688,14.40713,-0.07969256,0.01201326,10.72619,60.19371,65.5,60.87529,60,0,0,1,1890,65,6172,1,71313,25450,23361,0.06555227,475,2978,3479,96,15457,805,116678,106,51939,24575,64.57614,23168,14961,66.81815,1930,1920,1930,103.9897,58.52265,1628,0.02231941,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Savannah,GA,44,1955,CHATHAM,510,0,,,,,,1,,,,,,,,,,2,1947,1949,1922,1917,134441,0.06723643,0.8525719,11.76884,0.000511509,0.4040021,11.69223,12.37316,32.7,24.96548,150,0,0,0,1800,155,8510,1,83634,48371,45058,0.06030982,1124,4900,5824,107,18246,1391,146146,242,206623,41783,40.43357,38886,15723,63.26679,1870,1840,1870,65.54491,17.29216,50807,0.377913,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sioux City,IA,31,1955,WOODBURY,1930,0,,,,,,,0,,,,,,,,,2,NA,1939,1891,1907,86575,0.02978665,1.523973,11.8227,-0.2429126,0.0140015,11.33846,3.07652,61.3,42.61335,80,0,1,0,1870,85,4213,1,85050,42641,41552,0.03330649,704,4017,3635,132,46296,1014,136544,297,NA,27567,63.94563,26632,17030,55.88953,1890,1890,1910,82.65386,2.698786,1525,0.01761479,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Peoria,IL,21,1955,PEORIA,1430,0,,,,,,,0,,,,,,,,,2,NA,1941,1891,1905,107509,0.0483005,1.698612,11.87241,-0.03631349,0.05300565,11.62497,-3.886247,54.1,52.7761,110,0,1,0,1840,115,3333,1,99644,58639,56010,0.04800577,752,4835,5084,195,106063,1471,188586,326,387504,34985,55.36752,33740,18681,62.71552,1880,1860,1880,73.75465,-5.931443,7865,0.07315666,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Haverhill,MA,3,1955,ESSEX,90,0,,,,,,,0,,,,,,,,,2,NA,1884,1888,1911,46813,0.06768008,4.695432,12.94416,-0.005178664,0.005012691,10.76384,-0.9877326,48.4,44.1992,160,1,0,0,1790,165,1412,1,46532,16828,16790,0.04463464,1172,7369,7661,214,65709,598,53011,65,24299,15428,50.76944,14751,7489,60.08797,1890,1870,1909,124.9517,-1.08624,281,0.006002606,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Poughkeepsie,NY,13,1955,DUTCHESS,270,0,,,,,,,0,,,,,,,,,2,1923,1883,1895,1913,39676,0.05698685,2.388904,16.77108,0.05382726,0.04502352,10.62189,-3.283524,37.5,64.23009,100,1,0,0,1850,105,2121,1,36913,31699,30324,0.05471048,651,3648,4346,113,127466,821,88507,122,51997,12985,39.54708,12585,4977,78.34235,1910,1850,1910,52.70124,-5.776496,2763,0.06963908,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
San Antonio,TX,49,1955,BEXAR,290,0,,,,,,1,,,,,,,,,,2,1912,1941,1892,1905,498080,0.0419648,1.082161,10.41029,-0.1791759,0.07200043,12.9201,21.94632,56.4,39.53289,100,0,0,0,1850,105,7133,1,461630,151653,140423,0.04750598,5334,17326,15644,536,110086,5240,528888,795,NA,145079,60.64453,136347,82687,58.14914,1890,1870,1915,104.1053,21.79119,36450,0.07318102,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tacoma,WA,73,1955,PIERCE,530,0,,,,,,,0,,,,,,,,,2,1889,1937,1890,1907,145826,0.06298034,1.872307,11.56794,0.2173759,0.03100095,11.8753,1.498542,64.4,37.8869,60,0,0,1,1890,65,6306,1,139677,59109,54700,0.0672412,2302,8816,7969,287,123573,1892,219943,298,245683,52158,65.9324,49029,32326,49.39936,1890,1890,1910,89.89149,0.3289781,6149,0.04216669,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Little Rock,AR,42,1960,PULASKI,1190,0,,,,,,1,,,,,,,,,,2,NA,1940,1891,1909,107813,0.03462813,1.618847,13.36977,0.1986671,0.2325712,11.56184,2.666337,53.57468,51.0964,105,0,0,0,1850,110,7504,1,82476,46128,44541,0.034,902,6196,8111,188,76657,1568,195436,382,329872,37050,55.41948,34865,19322,39.69671,1890,1870,1890,76.49912,2.340241,25337,0.2350088,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fresno,CA,71,1960,FRESNO,190,0,,,,,,,0,,,,,,,,,2,1879,1913,1891,1909,133929,0.07481413,1.950372,18.19165,0.1051051,0.08988555,11.63336,18.73244,66.08082,43.32872,75,0,0,1,1880,80,6123,1,120803,52394,48899,0.067,1148,13602,15121,223,60576,2195,320226,425,390956,45231,66.607,42458,28280,44.3222,1920,1890,1921,90.19929,17.6729,13126,0.09800715,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kansas City,KS,32,1960,WYANDOTTE,2090,0,,,,,,,0,,,,,,,,,2,1960,1941,1893,1908,121901,0.05348114,1.463488,11.11933,0.1337154,0.2186086,11.74187,-3.043101,64.82826,47.64291,75,0,0,0,1880,80,7302,1,93619,50307,47281,0.06,822,8587,9016,200,221076,1343,151394,218,257422,40591,64.35638,38711,24913,45.26504,1890,1890,1910,76.79921,-4.705727,28282,0.2320079,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Troy,NY,13,1960,RENSSELAER,830,0,,,,,,,0,,,,,,,,,2,1923,1883,1895,1913,67492,0.05494649,1.673796,15.43612,-0.1543726,0.02221714,11.15484,-3.446303,40.33517,72.89899,135,1,0,0,1820,140,2127,1,65399,27023,25397,0.06,690,5382,4658,99,33388,965,104466,95,63065,22542,41.1537,21184,8718,52.59129,1850,1830,1850,96.8989,-4.314684,2093,0.03101108,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zanesville,OH,24,1960,MUSKINGUM,1190,0,,,,,,,0,,,,,,,,,2,1912,1913,1891,1908,39077,0.05778008,1.482524,16.23238,0.06231454,0.06739201,10.59155,-1.809182,61.8777,69.26865,135,0,1,0,1820,140,3140,1,36146,15037,13903,0.075,336,2607,3531,60,58992,570,64671,87,51953,13232,63.46031,12496,7930,61.88312,1910,1870,1910,92.49943,-2.610804,2931,0.07500575,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Galveston,TX,49,1960,GALVESTON,1670,0,,,,,,1,0,,,,,,,,,2,1912,1941,1892,1905,67175,0.06562015,0.8075249,14.17655,-0.08425003,0.2705358,11.11052,0.4546066,38.84465,52.42941,105,0,0,0,1850,110,7115,1,48701,27164,25449,0.063,1342,9997,10328,53,27905,878,87906,101,94626,24301,40.9735,21736,8906,40.10238,1890,1870,1901,72.4987,-0.1619516,18474,0.275013,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Spokane,WA,73,1960,SPOKANE,630,0,,,,,,,0,,,,,,,,,2,1889,1937,1890,1907,181608,0.06817784,1.537888,11.76135,0.01138193,0.02123334,12.05329,5.792711,64.71969,55.20785,65,0,0,1,1890,70,6305,1,177067,68765,63696,0.074,1475,12922,11720,264,63011,1966,310021,526,521624,68733,65.934,62056,40916,51.62305,1900,1890,1911,97.49956,5.385105,4541,0.02500441,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
